"TOOL_IDENTIFIER","CATEGORY_CODE","CATEGORY_NAME","COUNT"
"CC BY 3.0","astro-ph","Astrophysics","63"
"CC BY 3.0","astro-ph.CO","Cosmology and Nongalactic Astrophysics","182"
"CC BY 3.0","astro-ph.EP","Earth and Planetary Astrophysics","48"
"CC BY 3.0","astro-ph.GA","Astrophysics of Galaxies","101"
"CC BY 3.0","astro-ph.HE","High Energy Astrophysical Phenomena","111"
"CC BY 3.0","astro-ph.IM","Instrumentation and Methods for Astrophysics","86"
"CC BY 3.0","astro-ph.SR","Solar and Stellar Astrophysics","147"
"CC BY 3.0","cond-mat.dis-nn","Disordered Systems and Neural Networks","47"
"CC BY 3.0","cond-mat.mes-hall","Mesoscale and Nanoscale Physics","309"
"CC BY 3.0","cond-mat.mtrl-sci","Materials Science","359"
"CC BY 3.0","cond-mat.other","Other Condensed Matter","66"
"CC BY 3.0","cond-mat.quant-gas","Quantum Gases","57"
"CC BY 3.0","cond-mat.soft","Soft Condensed Matter","125"
"CC BY 3.0","cond-mat.stat-mech","Statistical Mechanics","164"
"CC BY 3.0","cond-mat.str-el","Strongly Correlated Electrons","123"
"CC BY 3.0","cond-mat.supr-con","Superconductivity","122"
"CC BY 3.0","cs.AI","Artificial Intelligence","136"
"CC BY 3.0","cs.AR","Hardware Architecture","17"
"CC BY 3.0","cs.CC","Computational Complexity","50"
"CC BY 3.0","cs.CE","Computational Engineering, Finance, and Science","68"
"CC BY 3.0","cs.CG","Computational Geometry","23"
"CC BY 3.0","cs.CL","Computation and Language","94"
"CC BY 3.0","cs.CR","Cryptography and Security","131"
"CC BY 3.0","cs.CV","Computer Vision and Pattern Recognition","131"
"CC BY 3.0","cs.CY","Computers and Society","105"
"CC BY 3.0","cs.DB","Databases","98"
"CC BY 3.0","cs.DC","Distributed, Parallel, and Cluster Computing","87"
"CC BY 3.0","cs.DL","Digital Libraries","90"
"CC BY 3.0","cs.DM","Discrete Mathematics","57"
"CC BY 3.0","cs.DS","Data Structures and Algorithms","76"
"CC BY 3.0","cs.ET","Emerging Technologies","21"
"CC BY 3.0","cs.FL","Formal Languages and Automata Theory","25"
"CC BY 3.0","cs.GL","General Literature","2"
"CC BY 3.0","cs.GR","Graphics","9"
"CC BY 3.0","cs.GT","Computer Science and Game Theory","37"
"CC BY 3.0","cs.HC","Human-Computer Interaction","43"
"CC BY 3.0","cs.IR","Information Retrieval","90"
"CC BY 3.0","cs.IT","Information Theory","198"
"CC BY 3.0","cs.LG","Machine Learning","102"
"CC BY 3.0","cs.LO","Logic in Computer Science","72"
"CC BY 3.0","cs.MA","Multiagent Systems","21"
"CC BY 3.0","cs.MM","Multimedia","39"
"CC BY 3.0","cs.MS","Mathematical Software","25"
"CC BY 3.0","cs.NA","Numerical Analysis","16"
"CC BY 3.0","cs.NE","Neural and Evolutionary Computing","65"
"CC BY 3.0","cs.NI","Networking and Internet Architecture","189"
"CC BY 3.0","cs.OH","Other Computer Science","44"
"CC BY 3.0","cs.OS","Operating Systems","9"
"CC BY 3.0","cs.PF","Performance","23"
"CC BY 3.0","cs.PL","Programming Languages","44"
"CC BY 3.0","cs.RO","Robotics","29"
"CC BY 3.0","cs.SC","Symbolic Computation","17"
"CC BY 3.0","cs.SD","Sound","21"
"CC BY 3.0","cs.SE","Software Engineering","110"
"CC BY 3.0","cs.SI","Social and Information Networks","127"
"CC BY 3.0","cs.SY","Systems and Control","54"
"CC BY 3.0","econ.GN","General Economics","1"
"CC BY 3.0","gr-qc","General Relativity and Quantum Cosmology","250"
"CC BY 3.0","hep-ex","High Energy Physics - Experiment","500"
"CC BY 3.0","hep-lat","High Energy Physics - Lattice","30"
"CC BY 3.0","hep-ph","High Energy Physics - Phenomenology","424"
"CC BY 3.0","hep-th","High Energy Physics - Theory","245"
"CC BY 3.0","math-ph","Mathematical Physics","237"
"CC BY 3.0","math.AC","Commutative Algebra","52"
"CC BY 3.0","math.AG","Algebraic Geometry","88"
"CC BY 3.0","math.AP","Analysis of PDEs","179"
"CC BY 3.0","math.AT","Algebraic Topology","33"
"CC BY 3.0","math.CA","Classical Analysis and ODEs","102"
"CC BY 3.0","math.CO","Combinatorics","182"
"CC BY 3.0","math.CT","Category Theory","32"
"CC BY 3.0","math.CV","Complex Variables","69"
"CC BY 3.0","math.DG","Differential Geometry","172"
"CC BY 3.0","math.DS","Dynamical Systems","89"
"CC BY 3.0","math.FA","Functional Analysis","126"
"CC BY 3.0","math.GM","General Mathematics","61"
"CC BY 3.0","math.GN","General Topology","8"
"CC BY 3.0","math.GR","Group Theory","48"
"CC BY 3.0","math.GT","Geometric Topology","23"
"CC BY 3.0","math.HO","History and Overview","15"
"CC BY 3.0","math.IT","Information Theory","198"
"CC BY 3.0","math.KT","K-Theory and Homology","16"
"CC BY 3.0","math.LO","Logic","30"
"CC BY 3.0","math.MG","Metric Geometry","19"
"CC BY 3.0","math.MP","Mathematical Physics","237"
"CC BY 3.0","math.NA","Numerical Analysis","78"
"CC BY 3.0","math.NT","Number Theory","125"
"CC BY 3.0","math.OA","Operator Algebras","40"
"CC BY 3.0","math.OC","Optimization and Control","96"
"CC BY 3.0","math.PR","Probability","91"
"CC BY 3.0","math.QA","Quantum Algebra","46"
"CC BY 3.0","math.RA","Rings and Algebras","64"
"CC BY 3.0","math.RT","Representation Theory","55"
"CC BY 3.0","math.SG","Symplectic Geometry","16"
"CC BY 3.0","math.SP","Spectral Theory","18"
"CC BY 3.0","math.ST","Statistics Theory","29"
"CC BY 3.0","nlin.AO","Adaptation and Self-Organizing Systems","50"
"CC BY 3.0","nlin.CD","Chaotic Dynamics","64"
"CC BY 3.0","nlin.CG","Cellular Automata and Lattice Gases","10"
"CC BY 3.0","nlin.PS","Pattern Formation and Solitons","38"
"CC BY 3.0","nlin.SI","Exactly Solvable and Integrable Systems","42"
"CC BY 3.0","nucl-ex","Nuclear Experiment","107"
"CC BY 3.0","nucl-th","Nuclear Theory","203"
"CC BY 3.0","physics.acc-ph","Accelerator Physics","327"
"CC BY 3.0","physics.ao-ph","Atmospheric and Oceanic Physics","53"
"CC BY 3.0","physics.atm-clus","Atomic and Molecular Clusters","12"
"CC BY 3.0","physics.atom-ph","Atomic Physics","69"
"CC BY 3.0","physics.bio-ph","Biological Physics","86"
"CC BY 3.0","physics.chem-ph","Chemical Physics","71"
"CC BY 3.0","physics.class-ph","Classical Physics","40"
"CC BY 3.0","physics.comp-ph","Computational Physics","88"
"CC BY 3.0","physics.data-an","Data Analysis, Statistics and Probability","66"
"CC BY 3.0","physics.ed-ph","Physics Education","45"
"CC BY 3.0","physics.flu-dyn","Fluid Dynamics","85"
"CC BY 3.0","physics.gen-ph","General Physics","90"
"CC BY 3.0","physics.geo-ph","Geophysics","23"
"CC BY 3.0","physics.hist-ph","History and Philosophy of Physics","25"
"CC BY 3.0","physics.ins-det","Instrumentation and Detectors","104"
"CC BY 3.0","physics.med-ph","Medical Physics","37"
"CC BY 3.0","physics.optics","Optics","157"
"CC BY 3.0","physics.plasm-ph","Plasma Physics","52"
"CC BY 3.0","physics.pop-ph","Popular Physics","17"
"CC BY 3.0","physics.soc-ph","Physics and Society","176"
"CC BY 3.0","physics.space-ph","Space Physics","8"
"CC BY 3.0","q-bio.BM","Biomolecules","37"
"CC BY 3.0","q-bio.CB","Cell Behavior","18"
"CC BY 3.0","q-bio.GN","Genomics","65"
"CC BY 3.0","q-bio.MN","Molecular Networks","42"
"CC BY 3.0","q-bio.NC","Neurons and Cognition","42"
"CC BY 3.0","q-bio.OT","Other Quantitative Biology","13"
"CC BY 3.0","q-bio.PE","Populations and Evolution","107"
"CC BY 3.0","q-bio.QM","Quantitative Methods","75"
"CC BY 3.0","q-bio.SC","Subcellular Processes","9"
"CC BY 3.0","q-bio.TO","Tissues and Organs","13"
"CC BY 3.0","q-fin.CP","Computational Finance","4"
"CC BY 3.0","q-fin.EC","Economics","5"
"CC BY 3.0","q-fin.GN","General Finance","21"
"CC BY 3.0","q-fin.MF","Mathematical Finance","3"
"CC BY 3.0","q-fin.PM","Portfolio Management","3"
"CC BY 3.0","q-fin.PR","Pricing of Securities","6"
"CC BY 3.0","q-fin.RM","Risk Management","10"
"CC BY 3.0","q-fin.ST","Statistical Finance","15"
"CC BY 3.0","quant-ph","Quantum Physics","501"
"CC BY 3.0","stat.AP","Applications","56"
"CC BY 3.0","stat.CO","Computation","33"
"CC BY 3.0","stat.ME","Methodology","55"
"CC BY 3.0","stat.ML","Machine Learning","55"
"CC BY 3.0","stat.OT","Other Statistics","3"
"CC BY 3.0","stat.TH","Statistics Theory","29"
"CC BY 4.0","astro-ph","Astrophysics","9"
"CC BY 4.0","astro-ph.CO","Cosmology and Nongalactic Astrophysics","10273"
"CC BY 4.0","astro-ph.EP","Earth and Planetary Astrophysics","7095"
"CC BY 4.0","astro-ph.GA","Astrophysics of Galaxies","14482"
"CC BY 4.0","astro-ph.HE","High Energy Astrophysical Phenomena","11711"
"CC BY 4.0","astro-ph.IM","Instrumentation and Methods for Astrophysics","7415"
"CC BY 4.0","astro-ph.SR","Solar and Stellar Astrophysics","10793"
"CC BY 4.0","cond-mat","Condensed Matter","5"
"CC BY 4.0","cond-mat.dis-nn","Disordered Systems and Neural Networks","2942"
"CC BY 4.0","cond-mat.mes-hall","Mesoscale and Nanoscale Physics","12676"
"CC BY 4.0","cond-mat.mtrl-sci","Materials Science","17497"
"CC BY 4.0","cond-mat.other","Other Condensed Matter","1545"
"CC BY 4.0","cond-mat.quant-gas","Quantum Gases","3236"
"CC BY 4.0","cond-mat.soft","Soft Condensed Matter","6111"
"CC BY 4.0","cond-mat.stat-mech","Statistical Mechanics","8296"
"CC BY 4.0","cond-mat.str-el","Strongly Correlated Electrons","9877"
"CC BY 4.0","cond-mat.supr-con","Superconductivity","4608"
"CC BY 4.0","cs.AI","Artificial Intelligence","56810"
"CC BY 4.0","cs.AR","Hardware Architecture","2161"
"CC BY 4.0","cs.CC","Computational Complexity","2227"
"CC BY 4.0","cs.CE","Computational Engineering, Finance, and Science","2456"
"CC BY 4.0","cs.CG","Computational Geometry","1400"
"CC BY 4.0","cs.CL","Computation and Language","36225"
"CC BY 4.0","cs.CR","Cryptography and Security","12233"
"CC BY 4.0","cs.CV","Computer Vision and Pattern Recognition","46404"
"CC BY 4.0","cs.CY","Computers and Society","8688"
"CC BY 4.0","cs.DB","Databases","2539"
"CC BY 4.0","cs.DC","Distributed, Parallel, and Cluster Computing","5927"
"CC BY 4.0","cs.DL","Digital Libraries","1506"
"CC BY 4.0","cs.DM","Discrete Mathematics","2476"
"CC BY 4.0","cs.DS","Data Structures and Algorithms","5176"
"CC BY 4.0","cs.ET","Emerging Technologies","1887"
"CC BY 4.0","cs.FL","Formal Languages and Automata Theory","1475"
"CC BY 4.0","cs.GL","General Literature","37"
"CC BY 4.0","cs.GR","Graphics","2181"
"CC BY 4.0","cs.GT","Computer Science and Game Theory","2827"
"CC BY 4.0","cs.HC","Human-Computer Interaction","9660"
"CC BY 4.0","cs.IR","Information Retrieval","6732"
"CC BY 4.0","cs.IT","Information Theory","6298"
"CC BY 4.0","cs.LG","Machine Learning","76604"
"CC BY 4.0","cs.LO","Logic in Computer Science","4686"
"CC BY 4.0","cs.MA","Multiagent Systems","3018"
"CC BY 4.0","cs.MM","Multimedia","2023"
"CC BY 4.0","cs.MS","Mathematical Software","445"
"CC BY 4.0","cs.NA","Numerical Analysis","7770"
"CC BY 4.0","cs.NE","Neural and Evolutionary Computing","3450"
"CC BY 4.0","cs.NI","Networking and Internet Architecture","4178"
"CC BY 4.0","cs.OH","Other Computer Science","173"
"CC BY 4.0","cs.OS","Operating Systems","273"
"CC BY 4.0","cs.PF","Performance","1120"
"CC BY 4.0","cs.PL","Programming Languages","2496"
"CC BY 4.0","cs.RO","Robotics","12885"
"CC BY 4.0","cs.SC","Symbolic Computation","555"
"CC BY 4.0","cs.SD","Sound","5840"
"CC BY 4.0","cs.SE","Software Engineering","7290"
"CC BY 4.0","cs.SI","Social and Information Networks","4536"
"CC BY 4.0","cs.SY","Systems and Control","10194"
"CC BY 4.0","econ.EM","Econometrics","1456"
"CC BY 4.0","econ.GN","General Economics","2332"
"CC BY 4.0","econ.TH","Theoretical Economics","1168"
"CC BY 4.0","eess.AS","Audio and Speech Processing","6274"
"CC BY 4.0","eess.IV","Image and Video Processing","8271"
"CC BY 4.0","eess.SP","Signal Processing","8963"
"CC BY 4.0","eess.SY","Systems and Control","10104"
"CC BY 4.0","gr-qc","General Relativity and Quantum Cosmology","14493"
"CC BY 4.0","hep-ex","High Energy Physics - Experiment","10846"
"CC BY 4.0","hep-lat","High Energy Physics - Lattice","2664"
"CC BY 4.0","hep-ph","High Energy Physics - Phenomenology","20108"
"CC BY 4.0","hep-th","High Energy Physics - Theory","17057"
"CC BY 4.0","math-ph","Mathematical Physics","9550"
"CC BY 4.0","math.AC","Commutative Algebra","1582"
"CC BY 4.0","math.AG","Algebraic Geometry","5946"
"CC BY 4.0","math.AP","Analysis of PDEs","9177"
"CC BY 4.0","math.AT","Algebraic Topology","2077"
"CC BY 4.0","math.CA","Classical Analysis and ODEs","2659"
"CC BY 4.0","math.CO","Combinatorics","11687"
"CC BY 4.0","math.CT","Category Theory","1539"
"CC BY 4.0","math.CV","Complex Variables","2185"
"CC BY 4.0","math.DG","Differential Geometry","4808"
"CC BY 4.0","math.DS","Dynamical Systems","5886"
"CC BY 4.0","math.FA","Functional Analysis","4379"
"CC BY 4.0","math.GM","General Mathematics","883"
"CC BY 4.0","math.GN","General Topology","768"
"CC BY 4.0","math.GR","Group Theory","3017"
"CC BY 4.0","math.GT","Geometric Topology","2379"
"CC BY 4.0","math.HO","History and Overview","657"
"CC BY 4.0","math.IT","Information Theory","6298"
"CC BY 4.0","math.KT","K-Theory and Homology","539"
"CC BY 4.0","math.LO","Logic","2310"
"CC BY 4.0","math.MG","Metric Geometry","1575"
"CC BY 4.0","math.MP","Mathematical Physics","9550"
"CC BY 4.0","math.NA","Numerical Analysis","7830"
"CC BY 4.0","math.NT","Number Theory","6632"
"CC BY 4.0","math.OA","Operator Algebras","1311"
"CC BY 4.0","math.OC","Optimization and Control","10419"
"CC BY 4.0","math.PR","Probability","7898"
"CC BY 4.0","math.QA","Quantum Algebra","1354"
"CC BY 4.0","math.RA","Rings and Algebras","2406"
"CC BY 4.0","math.RT","Representation Theory","3147"
"CC BY 4.0","math.SG","Symplectic Geometry","860"
"CC BY 4.0","math.SP","Spectral Theory","1067"
"CC BY 4.0","math.ST","Statistics Theory","4095"
"CC BY 4.0","nlin.AO","Adaptation and Self-Organizing Systems","1083"
"CC BY 4.0","nlin.CD","Chaotic Dynamics","1543"
"CC BY 4.0","nlin.CG","Cellular Automata and Lattice Gases","126"
"CC BY 4.0","nlin.PS","Pattern Formation and Solitons","1300"
"CC BY 4.0","nlin.SI","Exactly Solvable and Integrable Systems","1017"
"CC BY 4.0","nucl-ex","Nuclear Experiment","3822"
"CC BY 4.0","nucl-th","Nuclear Theory","5875"
"CC BY 4.0","physics.acc-ph","Accelerator Physics","1746"
"CC BY 4.0","physics.ao-ph","Atmospheric and Oceanic Physics","2015"
"CC BY 4.0","physics.app-ph","Applied Physics","6130"
"CC BY 4.0","physics.atm-clus","Atomic and Molecular Clusters","319"
"CC BY 4.0","physics.atom-ph","Atomic Physics","3070"
"CC BY 4.0","physics.bio-ph","Biological Physics","2800"
"CC BY 4.0","physics.chem-ph","Chemical Physics","4893"
"CC BY 4.0","physics.class-ph","Classical Physics","1048"
"CC BY 4.0","physics.comp-ph","Computational Physics","5094"
"CC BY 4.0","physics.data-an","Data Analysis, Statistics and Probability","1887"
"CC BY 4.0","physics.ed-ph","Physics Education","772"
"CC BY 4.0","physics.flu-dyn","Fluid Dynamics","6704"
"CC BY 4.0","physics.gen-ph","General Physics","772"
"CC BY 4.0","physics.geo-ph","Geophysics","1852"
"CC BY 4.0","physics.hist-ph","History and Philosophy of Physics","871"
"CC BY 4.0","physics.ins-det","Instrumentation and Detectors","4086"
"CC BY 4.0","physics.med-ph","Medical Physics","1904"
"CC BY 4.0","physics.optics","Optics","10354"
"CC BY 4.0","physics.plasm-ph","Plasma Physics","3341"
"CC BY 4.0","physics.pop-ph","Popular Physics","346"
"CC BY 4.0","physics.soc-ph","Physics and Society","3560"
"CC BY 4.0","physics.space-ph","Space Physics","1597"
"CC BY 4.0","q-bio.BM","Biomolecules","1118"
"CC BY 4.0","q-bio.CB","Cell Behavior","344"
"CC BY 4.0","q-bio.GN","Genomics","710"
"CC BY 4.0","q-bio.MN","Molecular Networks","518"
"CC BY 4.0","q-bio.NC","Neurons and Cognition","2530"
"CC BY 4.0","q-bio.OT","Other Quantitative Biology","320"
"CC BY 4.0","q-bio.PE","Populations and Evolution","1925"
"CC BY 4.0","q-bio.QM","Quantitative Methods","2766"
"CC BY 4.0","q-bio.SC","Subcellular Processes","168"
"CC BY 4.0","q-bio.TO","Tissues and Organs","485"
"CC BY 4.0","q-fin.CP","Computational Finance","630"
"CC BY 4.0","q-fin.EC","Economics","2337"
"CC BY 4.0","q-fin.GN","General Finance","363"
"CC BY 4.0","q-fin.MF","Mathematical Finance","507"
"CC BY 4.0","q-fin.PM","Portfolio Management","368"
"CC BY 4.0","q-fin.PR","Pricing of Securities","222"
"CC BY 4.0","q-fin.RM","Risk Management","411"
"CC BY 4.0","q-fin.ST","Statistical Finance","651"
"CC BY 4.0","q-fin.TR","Trading and Market Microstructure","392"
"CC BY 4.0","quant-ph","Quantum Physics","29289"
"CC BY 4.0","stat.AP","Applications","5459"
"CC BY 4.0","stat.CO","Computation","2086"
"CC BY 4.0","stat.ME","Methodology","8046"
"CC BY 4.0","stat.ML","Machine Learning","13008"
"CC BY 4.0","stat.OT","Other Statistics","379"
"CC BY 4.0","stat.TH","Statistics Theory","4096"
"CC BY-NC-ND 4.0","astro-ph.CO","Cosmology and Nongalactic Astrophysics","557"
"CC BY-NC-ND 4.0","astro-ph.EP","Earth and Planetary Astrophysics","1057"
"CC BY-NC-ND 4.0","astro-ph.GA","Astrophysics of Galaxies","1163"
"CC BY-NC-ND 4.0","astro-ph.HE","High Energy Astrophysical Phenomena","1075"
"CC BY-NC-ND 4.0","astro-ph.IM","Instrumentation and Methods for Astrophysics","1121"
"CC BY-NC-ND 4.0","astro-ph.SR","Solar and Stellar Astrophysics","1237"
"CC BY-NC-ND 4.0","cond-mat.dis-nn","Disordered Systems and Neural Networks","326"
"CC BY-NC-ND 4.0","cond-mat.mes-hall","Mesoscale and Nanoscale Physics","1583"
"CC BY-NC-ND 4.0","cond-mat.mtrl-sci","Materials Science","3887"
"CC BY-NC-ND 4.0","cond-mat.other","Other Condensed Matter","241"
"CC BY-NC-ND 4.0","cond-mat.quant-gas","Quantum Gases","200"
"CC BY-NC-ND 4.0","cond-mat.soft","Soft Condensed Matter","1364"
"CC BY-NC-ND 4.0","cond-mat.stat-mech","Statistical Mechanics","872"
"CC BY-NC-ND 4.0","cond-mat.str-el","Strongly Correlated Electrons","812"
"CC BY-NC-ND 4.0","cond-mat.supr-con","Superconductivity","540"
"CC BY-NC-ND 4.0","cs.AI","Artificial Intelligence","9605"
"CC BY-NC-ND 4.0","cs.AR","Hardware Architecture","508"
"CC BY-NC-ND 4.0","cs.CC","Computational Complexity","201"
"CC BY-NC-ND 4.0","cs.CE","Computational Engineering, Finance, and Science","695"
"CC BY-NC-ND 4.0","cs.CG","Computational Geometry","164"
"CC BY-NC-ND 4.0","cs.CL","Computation and Language","4292"
"CC BY-NC-ND 4.0","cs.CR","Cryptography and Security","2542"
"CC BY-NC-ND 4.0","cs.CV","Computer Vision and Pattern Recognition","8554"
"CC BY-NC-ND 4.0","cs.CY","Computers and Society","1857"
"CC BY-NC-ND 4.0","cs.DB","Databases","515"
"CC BY-NC-ND 4.0","cs.DC","Distributed, Parallel, and Cluster Computing","1103"
"CC BY-NC-ND 4.0","cs.DL","Digital Libraries","222"
"CC BY-NC-ND 4.0","cs.DM","Discrete Mathematics","319"
"CC BY-NC-ND 4.0","cs.DS","Data Structures and Algorithms","456"
"CC BY-NC-ND 4.0","cs.ET","Emerging Technologies","501"
"CC BY-NC-ND 4.0","cs.FL","Formal Languages and Automata Theory","168"
"CC BY-NC-ND 4.0","cs.GL","General Literature","15"
"CC BY-NC-ND 4.0","cs.GR","Graphics","415"
"CC BY-NC-ND 4.0","cs.GT","Computer Science and Game Theory","355"
"CC BY-NC-ND 4.0","cs.HC","Human-Computer Interaction","2365"
"CC BY-NC-ND 4.0","cs.IR","Information Retrieval","945"
"CC BY-NC-ND 4.0","cs.IT","Information Theory","1079"
"CC BY-NC-ND 4.0","cs.LG","Machine Learning","12031"
"CC BY-NC-ND 4.0","cs.LO","Logic in Computer Science","387"
"CC BY-NC-ND 4.0","cs.MA","Multiagent Systems","577"
"CC BY-NC-ND 4.0","cs.MM","Multimedia","409"
"CC BY-NC-ND 4.0","cs.MS","Mathematical Software","73"
"CC BY-NC-ND 4.0","cs.NA","Numerical Analysis","1928"
"CC BY-NC-ND 4.0","cs.NE","Neural and Evolutionary Computing","769"
"CC BY-NC-ND 4.0","cs.NI","Networking and Internet Architecture","1038"
"CC BY-NC-ND 4.0","cs.OH","Other Computer Science","47"
"CC BY-NC-ND 4.0","cs.OS","Operating Systems","58"
"CC BY-NC-ND 4.0","cs.PF","Performance","213"
"CC BY-NC-ND 4.0","cs.PL","Programming Languages","261"
"CC BY-NC-ND 4.0","cs.RO","Robotics","2930"
"CC BY-NC-ND 4.0","cs.SC","Symbolic Computation","70"
"CC BY-NC-ND 4.0","cs.SD","Sound","1006"
"CC BY-NC-ND 4.0","cs.SE","Software Engineering","1346"
"CC BY-NC-ND 4.0","cs.SI","Social and Information Networks","842"
"CC BY-NC-ND 4.0","cs.SY","Systems and Control","3629"
"CC BY-NC-ND 4.0","econ.EM","Econometrics","352"
"CC BY-NC-ND 4.0","econ.GN","General Economics","710"
"CC BY-NC-ND 4.0","econ.TH","Theoretical Economics","335"
"CC BY-NC-ND 4.0","eess.AS","Audio and Speech Processing","1096"
"CC BY-NC-ND 4.0","eess.IV","Image and Video Processing","2254"
