"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"323","CC BY-NC-ND 2.5 CH","19900000"
"324","CC BY-NC-SA 2.5 CH","8250000"
"325","CC BY-ND 2.5 CH","93100000"
"326","CC BY-SA 2.5 CH","39000000"
"327","CC BY 2.5 CN","26100000"
"328","CC BY-NC 2.5 CN","6420000"
"329","CC BY-NC-ND 2.5 CN","6420000"
"330","CC BY-NC-SA 2.5 CN","570000"
"331","CC BY-ND 2.5 CN","26800000"
"332","CC BY-SA 2.5 CN","13900000"
"333","CC BY 2.5 CO","145000000"
"334","CC BY-NC 2.5 CO","30100000"
"335","CC BY-NC-ND 2.5 CO","30100000"
"336","CC BY-NC-SA 2.5 CO","15300000"
"337","CC BY-ND 2.5 CO","149000000"
"338","CC BY-SA 2.5 CO","66700000"
"339","CC BY 2.5 DK","20600000"
"340","CC BY-NC 2.5 DK","945000"
"341","CC BY-NC-ND 2.5 DK","945000"
"342","CC BY-NC-SA 2.5 DK","403000"
"343","CC BY-ND 2.5 DK","21300000"
"344","CC BY-SA 2.5 DK","9750000"
"345","CC BY 2.5 ES","41600000"
"346","CC BY-NC 2.5 ES","9410000"
"347","CC BY-NC-ND 2.5 ES","9380000"
"348","CC BY-NC-SA 2.5 ES","1830000"
"349","CC BY-ND 2.5 ES","42900000"
"350","CC BY-SA 2.5 ES","21800000"
"351","CC BY 2.5 HR","71200000"
"352","CC BY-NC 2.5 HR","16800000"
"353","CC BY-NC-ND 2.5 HR","16800000"
"354","CC BY-NC-SA 2.5 HR","6050000"
"355","CC BY-ND 2.5 HR","73900000"
"356","CC BY-SA 2.5 HR","28100000"
"357","CC BY 2.5 HU","55300000"
"358","CC BY-NC 2.5 HU","14200000"
"359","CC BY-NC-ND 2.5 HU","14200000"
"360","CC BY-NC-SA 2.5 HU","3120000"
"361","CC BY-ND 2.5 HU","57100000"
"362","CC BY-SA 2.5 HU","26500000"
"363","CC BY 2.5 IL","34300000"
"364","CC BY-NC 2.5 IL","9340000"
"365","CC BY-NC-ND 2.5 IL","9330000"
"366","CC BY-NC-SA 2.5 IL","950000"
"367","CC BY-ND 2.5 IL","34000000"
"368","CC BY-SA 2.5 IL","18800000"
"369","CC BY 2.5 IN","187000000"
"370","CC BY-NC 2.5 IN","42700000"
"371","CC BY-NC-ND 2.5 IN","46400000"
"372","CC BY-NC-SA 2.5 IN","21000000"
"373","CC BY-ND 2.5 IN","192000000"
"374","CC BY-SA 2.5 IN","84400000"
"375","CC BY 2.5 IT","187000000"
"376","CC BY-NC 2.5 IT","46400000"
"377","CC BY-NC-ND 2.5 IT","46400000"
"378","CC BY-NC-SA 2.5 IT","21000000"
"379","CC BY-ND 2.5 IT","192000000"
"380","CC BY-SA 2.5 IT","89700000"
"381","CC BY 2.5 MK","34300000"
"382","CC BY-NC 2.5 MK","7500000"
"383","CC BY-NC-ND 2.5 MK","7510000"
"384","CC BY-NC-SA 2.5 MK","759000"
"385","CC BY-ND 2.5 MK","35700000"
"386","CC BY-SA 2.5 MK","19400000"
"387","CC BY 2.5 MT","44700000"
"388","CC BY-NC 2.5 MT","10800000"
"389","CC BY-NC-ND 2.5 MT","10800000"
"390","CC BY-NC-SA 2.5 MT","1410000"
"391","CC BY-ND 2.5 MT","46500000"
"392","CC BY-SA 2.5 MT","22800000"
"393","CC BY 2.5 MX","12600000"
"394","CC BY-NC 2.5 MX","499000"
"395","CC BY-NC-ND 2.5 MX","498000"
"396","CC BY-NC-SA 2.5 MX","290000"
"397","CC BY-ND 2.5 MX","13100000"
"398","CC BY-SA 2.5 MX","1830000"
"399","CC BY 2.5 MY","98500000"
"400","CC BY-NC 2.5 MY","14400000"
"401","CC BY-NC-ND 2.5 MY","14400000"
"402","CC BY-NC-SA 2.5 MY","2240000"
"403","CC BY-ND 2.5 MY","103000000"
"404","CC BY-SA 2.5 MY","28400000"
"405","CC BY 2.5 NL","19000000"
"406","CC BY-NC 2.5 NL","753000"
"407","CC BY-NC-ND 2.5 NL","753000"
"408","CC BY-NC-SA 2.5 NL","385000"
"409","CC BY-ND 2.5 NL","19400000"
"410","CC BY-SA 2.5 NL","8600000"
"411","CC BY 2.5 PE","32300000"
"412","CC BY-NC 2.5 PE","7010000"
"413","CC BY-NC-ND 2.5 PE","7010000"
"414","CC BY-NC-SA 2.5 PE","867000"
"415","CC BY-ND 2.5 PE","33400000"
"416","CC BY-SA 2.5 PE","17400000"
"417","CC BY 2.5 PL","24600000"
"418","CC BY-NC 2.5 PL","2310000"
"419","CC BY-NC-ND 2.5 PL","2310000"
"420","CC BY-NC-SA 2.5 PL","681000"
"421","CC BY-ND 2.5 PL","25000000"
"422","CC BY-SA 2.5 PL","13900000"
"423","CC BY 2.5 PT","131000000"
"424","CC BY-NC 2.5 PT","27100000"
"425","CC BY-NC-ND 2.5 PT","27100000"
"426","CC BY-NC-SA 2.5 PT","13200000"
"427","CC BY-ND 2.5 PT","135000000"
"428","CC BY-SA 2.5 PT","58300000"
"429","CC BY 2.5 SCOTLAND","430000"
"430","CC BY-NC 2.5 SCOTLAND","145000"
"431","CC BY-NC-ND 2.5 SCOTLAND","145000"
"432","CC BY-NC-SA 2.5 SCOTLAND","89900"
"433","CC BY-ND 2.5 SCOTLAND","458000"
"434","CC BY-SA 2.5 SCOTLAND","222000"
"435","CC BY 2.5 SE","69400000"
"436","CC BY-NC 2.5 SE","16800000"
"437","CC BY-NC-ND 2.5 SE","16700000"
"438","CC BY-NC-SA 2.5 SE","6770000"
"439","CC BY-ND 2.5 SE","71800000"
"440","CC BY-SA 2.5 SE","31400000"
"441","CC BY 2.5 SI","33000000"
"442","CC BY-NC 2.5 SI","6910000"
"443","CC BY-NC-ND 2.5 SI","6900000"
"444","CC BY-NC-SA 2.5 SI","845000"
"445","CC BY-ND 2.5 SI","33800000"
"446","CC BY-SA 2.5 SI","17300000"
"447","CC BY 2.5 TW","15200000"
"448","CC BY-NC 2.5 TW","731000"
"449","CC BY-NC-ND 2.5 TW","731000"
"450","CC BY-NC-SA 2.5 TW","443000"
"451","CC BY-ND 2.5 TW","15800000"
"452","CC BY-SA 2.5 TW","5230000"
"453","CC BY 2.5 ZA","7080000"
"454","CC BY-NC 2.5 ZA","383000"
"455","CC BY-NC-ND 2.5 ZA","383000"
"456","CC BY-NC-SA 2.5 ZA","276000"
"457","CC BY-ND 2.5 ZA","7470000"
"458","CC BY-SA 2.5 ZA","827000"
"459","CC BY 2.1 AU","48700000"
"460","CC BY-NC 2.1 AU","9490000"
"461","CC BY-NC-ND 2.1 AU","9500000"
"462","CC BY-NC-SA 2.1 AU","1070000"
"463","CC BY-ND 2.1 AU","48700000"
"464","CC BY-SA 2.1 AU","21900000"
"465","CC BY 2.1 CA","117000000"
"466","CC BY-NC 2.1 CA","26600000"
"467","CC BY-NC-ND 2.1 CA","26600000"
"468","CC BY-NC-SA 2.1 CA","14300000"
"469","CC BY-ND 2.1 CA","117000000"
"470","CC BY-SA 2.1 CA","60900000"
"471","CC BY 2.1 ES","44000000"
"472","CC BY-NC 2.1 ES","9370000"
"473","CC BY-NC-ND 2.1 ES","9380000"
"474","CC BY-NC-SA 2.1 ES","1810000"
"475","CC BY-ND 2.1 ES","43800000"
"476","CC BY-SA 2.1 ES","21800000"
"477","CC BY 2.1 JP","91600000"
"478","CC BY-NC 2.1 JP","21100000"
"479","CC BY-NC-ND 2.1 JP","21200000"
"480","CC BY-NC-SA 2.1 JP","10000000"
"481","CC BY-ND 2.1 JP","91600000"
"482","CC BY-SA 2.1 JP","43400000"
"483","CC BY 2.0 AT","368000000"
"484","CC BY-NC 2.0 AT","176000000"
"485","CC BY-NC-ND 2.0 AT","176000000"
"486","CC BY-NC-SA 2.0 AT","81800000"
"487","CC BY-ND 2.0 AT","367000000"
"488","CC BY-SA 2.0 AT","271000000"
"489","CC BY 2.0 AU","181000000"
"490","CC BY-NC 2.0 AU","36800000"
"491","CC BY-NC-ND 2.0 AU","36800000"
"492","CC BY-NC-SA 2.0 AU","16000000"
"493","CC BY-ND 2.0 AU","181000000"
"494","CC BY-SA 2.0 AU","83200000"
"495","CC BY 2.0 BE","368000000"
"496","CC BY-NC 2.0 BE","176000000"
"497","CC BY-NC-ND 2.0 BE","176000000"
"498","CC BY-NC-SA 2.0 BE","81800000"
"499","CC BY-ND 2.0 BE","367000000"
"500","CC BY-SA 2.0 BE","257000000"
"501","CC BY 2.0 BR","25000000"
"502","CC BY-NC 2.0 BR","7590000"
"503","CC BY-NC-ND 2.0 BR","7580000"
"504","CC BY-NC-SA 2.0 BR","777000"
"505","CC BY-ND 2.0 BR","29300000"
"506","CC BY-SA 2.0 BR","15500000"
"507","CC BY 2.0 CA","79400000"
"508","CC BY-NC 2.0 CA","22500000"
"509","CC BY-NC-ND 2.0 CA","22500000"
"510","CC BY-NC-SA 2.0 CA","10300000"
"511","CC BY-ND 2.0 CA","99000000"
"512","CC BY-SA 2.0 CA","31500000"
"513","CC BY 2.0 CL","157000000"
"514","CC BY-NC 2.0 CL","38900000"
"515","CC BY-NC-ND 2.0 CL","38900000"
"516","CC BY-NC-SA 2.0 CL","20000000"
"517","CC BY-ND 2.0 CL","157000000"
"518","CC BY-SA 2.0 CL","88200000"
"519","CC BY 2.0 DE","366000000"
"520","CC BY-NC 2.0 DE","140000000"
"521","CC BY-NC-ND 2.0 DE","140000000"
"522","CC BY-NC-SA 2.0 DE","66700000"
"523","CC BY-ND 2.0 DE","366000000"
"524","CC BY-SA 2.0 DE","225000000"
"525","CC BY 2.0 ES","158000000"
"526","CC BY-NC 2.0 ES","38100000"
"527","CC BY-NC-ND 2.0 ES","38000000"
"528","CC BY-NC-SA 2.0 ES","18200000"
"529","CC BY-ND 2.0 ES","156000000"
"530","CC BY-SA 2.0 ES","86500000"
"531","CC BY 2.0 FR","135000000"
"532","CC BY-NC 2.0 FR","33800000"
"533","CC BY-NC-ND 2.0 FR","33800000"
"534","CC BY-NC-SA 2.0 FR","12800000"
"535","CC BY-ND 2.0 FR","164000000"
"536","CC BY-SA 2.0 FR","53800000"
"537","CC BY 2.0 HR","185000000"
"538","CC BY-NC 2.0 HR","47000000"
"539","CC BY-NC-ND 2.0 HR","47000000"
"540","CC BY-NC-SA 2.0 HR","19400000"
"541","CC BY-ND 2.0 HR","185000000"
"542","CC BY-SA 2.0 HR","101000000"
"543","CC BY 2.0 IT","366000000"
"544","CC BY-NC 2.0 IT","178000000"
"545","CC BY-NC-ND 2.0 IT","178000000"
"546","CC BY-NC-SA 2.0 IT","82800000"
"547","CC BY-ND 2.0 IT","366000000"
"548","CC BY-SA 2.0 IT","259000000"
"549","CC BY 2.0 JP","60900000"
"550","CC BY-NC 2.0 JP","17800000"
"551","CC BY-NC-ND 2.0 JP","17800000"
"552","CC BY-NC-SA 2.0 JP","6520000"
"553","CC BY-ND 2.0 JP","77600000"
"554","CC BY-SA 2.0 JP","28900000"
"555","CC BY 2.0 KR","13600000"
"556","CC BY-NC 2.0 KR","802000"
"557","CC BY-NC-ND 2.0 KR","802000"
"558","CC BY-NC-SA 2.0 KR","385000"
"559","CC BY-ND 2.0 KR","16700000"
"560","CC BY-SA 2.0 KR","6280000"
"561","CC BY 2.0 NL","13100000"
"562","CC BY-NC 2.0 NL","598000"
"563","CC BY-NC-ND 2.0 NL","597000"
"564","CC BY-NC-SA 2.0 NL","328000"
"565","CC BY-ND 2.0 NL","15300000"
"566","CC BY-SA 2.0 NL","6640000"
"567","CC BY 2.0 PL","16800000"
"568","CC BY-NC 2.0 PL","840000"
"569","CC BY-NC-ND 2.0 PL","839000"
"570","CC BY-NC-SA 2.0 PL","510000"
"571","CC BY-ND 2.0 PL","19100000"
"572","CC BY-SA 2.0 PL","10500000"
"573","CC BY 2.0 TW","59400000"
"574","CC BY-NC 2.0 TW","14900000"
"575","CC BY-NC-ND 2.0 TW","14900000"
"576","CC BY-NC-SA 2.0 TW","868000"
"577","CC BY-ND 2.0 TW","59200000"
"578","CC BY-SA 2.0 TW","20500000"
"579","CC BY 2.0 UK","262000000"
"580","CC BY-NC 2.0 UK","68700000"
"581","CC BY-NC-ND 2.0 UK","65200000"
"582","CC BY-NC-SA 2.0 UK","25500000"
"583","CC BY-ND 2.0 UK","261000000"
"584","CC BY-SA 2.0 UK","129000000"
"585","CC BY 2.0 ZA","27200000"
"586","CC BY-NC 2.0 ZA","6010000"
"587","CC BY-NC-ND 2.0 ZA","6000000"
"588","CC BY-NC-SA 2.0 ZA","793000"
"589","CC BY-ND 2.0 ZA","26900000"
"590","CC BY-SA 2.0 ZA","15800000"
"591","CC BY 1.0 FI","14000000"
"592","CC BY-NC 1.0 FI","687000"
"593","CC BY-NC-SA 1.0 FI","431000"
"594","CC BY-ND 1.0 FI","13700000"
"595","CC BY-ND-NC 1.0 FI","700000"
"596","CC BY-SA 1.0 FI","2390000"
"597","CC BY 1.0 IL","26700000"
"598","CC BY-NC 1.0 IL","5790000"
"599","CC BY-NC-SA 1.0 IL","686000"
"600","CC BY-ND 1.0 IL","26400000"
"601","CC BY-ND-NC 1.0 IL","6310000"
"602","CC BY-SA 1.0 IL","14500000"
"603","CC BY 1.0 NL","16000000"
"604","CC BY-NC 1.0 NL","541000"
"605","CC BY-NC-SA 1.0 NL","303000"
"606","CC BY-ND 1.0 NL","15700000"
"607","CC BY-ND-NC 1.0 NL","587000"
"608","CC BY-SA 1.0 NL","6290000"
"609","CC DEVNATIONS 2.0","95"
"610","CC NC 1.0","36900000"
"611","CC NC-SA 1.0","16900000"
"612","CC NC-SAMPLING+ 1.0","27600000"
"613","CC ND 1.0","189000000"
"614","CC ND-NC 1.0","36900000"
"615","CC SA 1.0","78800000"
"616","CC SAMPLING 1.0","124000000"
"617","CC SAMPLING+ 1.0","124000000"
"618","CC NC 2.0 JP","18400000"
"619","CC NC-SA 2.0 JP","6950000"
"620","CC ND 2.0 JP","75900000"
"621","CC ND-NC 2.0 JP","18400000"
"622","CC SA 2.0 JP","30900000"
"623","CC SAMPLING 1.0 BR","24100000"
"624","CC SAMPLING+ 1.0 BR","24200000"
"625","CC SAMPLING+ 1.0 DE","95600000"
"626","CC NC 1.0 FI","697000"
"627","CC NC-SA 1.0 FI","435000"
"628","CC ND 1.0 FI","13500000"
"629","CC ND-NC 1.0 FI","698000"
"630","CC SA 1.0 FI","2400000"
"631","CC NC 1.0 NL","585000"
"632","CC NC-SA 1.0 NL","313000"
"633","CC ND 1.0 NL","15400000"
"634","CC ND-NC 1.0 NL","586000"
"635","CC SA 1.0 NL","6320000"
"636","CC NC-SAMPLING+ 1.0 TW","12400000"
"637","CC SAMPLING 1.0 TW","36100000"
"638","CC SAMPLING+ 1.0 TW","36200000"
"639","CERTIFICATION 1.0 US","138000"
"640","CERTIFICATION 1.0 US","45900000"
